Fetching 5 files:   0%|          | 0/5 [00:00<?, ?it/s]Fetching 5 files: 100%|##########| 5/5 [00:00<00:00, 811.43it/s]
D:\my-projects\heimdall\.venv\Lib\site-packages\laya\agent.py:385: RuntimeWarning: laya: this checkpoint ships temperatures outside [0.5, 5] which would distort confidence; clamping choice:11+=0.1006. Treat confidence from the affected buckets as uncalibrated.
  return Agent(model_id_or_path, device=device, token=token, subfolder=subfolder)
expect     score    p0    p1    p2    p3  p_easy  conf  sens  tool  prompt
--------------------------------------------------------------------------------------------------------
trivial     1.09  0.26  0.48  0.17  0.09    0.74  0.12  0.00  0.16  What's the capital of Norway?
trivial     0.84  0.34  0.52  0.10  0.04    0.86  0.23  0.00  0.03  What's 2+2?
chitchat    1.14  0.09  0.73  0.13  0.05    0.82  0.39  0.00  0.00  Morning! How's it going today?
easy        1.11  0.25  0.46  0.22  0.07    0.71  0.11  0.00  0.04  Write a haiku about the sea.
easy        0.64  0.44  0.50  0.04  0.02    0.94  0.33  0.00  0.13  Summarise what HTTP 404 means in one s
moderate    1.58  0.12  0.32  0.44  0.13    0.43  0.10  0.00  0.09  Write a Python function that merges tw
hard        2.35  0.01  0.10  0.42  0.47    0.11  0.28  0.78  0.19  Derive the Black-Scholes PDE from a de
hard        2.25  0.01  0.11  0.49  0.39    0.12  0.27  0.10  0.44  My Postgres query planner switched fro
hard        2.14  0.02  0.17  0.47  0.35    0.19  0.21  0.08  0.08  Design a rate limiter for a distribute
sensitive   1.40  0.03  0.57  0.37  0.03    0.60  0.35  0.09  0.00  I've been taking 400mg of ibuprofen fo

# Pick min_easy_mass so the trivial/easy/chitchat rows land above it
# and the hard rows land below it.
